input,input,input,input,input,input,input,input,input,input,input,input,input,input,output
181,230,1566427,1566453,312,73,48,40573,122,141,1360,40,2.4941,0.9985,2
1190,1201,9007,9033,180,24,27,17505,87,111,1362,175,2.2553,0.4729,2
1214,1222,737538,737568,147,28,31,16908,105,133,1362,175,2.1673,0.3977,2
1211,1229,840091,840385,1733,206,294,185716,93,133,1362,175,3.2388,1,2
1207,1214,882674,882712,120,35,39,15035,118,135,1362,175,2.0792,0.4399,2
1200,1220,971714,971922,1804,175,211,214243,101,135,1360,175,3.2562,1,2
1191,1201,1062881,1062901,124,26,21,14323,107,126,1364,175,2.0934,0.3359,2
1202,1215,1127580,1127599,119,24,20,13662,106,127,1364,175,2.0756,0.4089,2
1109,1118,1170194,1170219,130,21,26,15147,109,126,1360,175,2.1139,0.374,2
1190,1219,1183612,1183893,3883,229,289,395668,78,127,1362,175,3.5892,1,2
1198,1209,1246188,1246244,295,42,56,32358,96,126,1364,175,2.4698,0.8901,2
464,474,28542,28553,72,13,12,13094,168,198,1387,40,1.8573,0.2173,3
853,861,31984,31995,66,9,11,12872,178,207,1387,40,1.8195,0.1934,3
0,9,35152,35164,61,10,12,10855,168,189,1387,40,1.7853,0.215,3
816,824,40184,40195,75,8,11,14016,157,206,1387,40,1.8751,0.1934,3
827,843,48480,48539,443,56,60,79713,77,221,1387,40,2.6464,0.9863,3
1059,1069,117715,117724,76,10,9,15483,195,213,1387,40,1.8808,0.1954,3
259,272,125025,125040,150,13,15,28697,172,212,1387,40,2.1761,0.3285,3
853,872,135196,135298,892,59,104,181730,68,236,1387,40,2.9504,1,3
570,585,155584,155593,74,16,11,15069,196,210,1387,40,1.8692,0.2469,3
732,750,177076,177087,136,18,11,27180,192,207,1387,40,2.1335,0.3329,3
1084,1097,185575,185588,108,16,17,21840,195,212,1387,40,2.0334,0.2914,3
1212,1220,198764,198776,74,12,12,13025,163,188,1387,40,1.8692,0.2018,3
857,865,211983,211993,52,8,10,9968,178,207,1387,40,1.716,0.1852,3
852,860,222646,222657,69,8,11,13099,164,205,1387,40,1.8389,0.1934,3
141,148,236266,236280,60,8,14,11189,178,198,1387,40,1.7781,0.204,3
716,723,251869,251880,68,8,11,12624,177,191,1387,40,1.8325,0.1822,3
1220,1228,270702,270711,70,8,9,11255,143,174,1387,40,1.8451,0.1773,3
1028,1052,365905,365932,504,24,27,69672,48,189,1387,40,2.7024,0.9093,3
4,16,394965,394980,140,12,15,20974,118,174,1387,40,2.1461,0.3068,3
867,878,419960,419973,108,11,13,17174,123,181,1387,40,2.0334,0.257,3
1279,1288,435870,435883,96,9,13,14369,128,164,1387,40,1.9823,0.2253,3
951,961,494451,494461,81,11,10,13311,141,182,1387,40,1.9085,0.2061,3
945,956,508640,508650,85,12,10,14041,139,181,1387,40,1.9294,0.2173,3
856,864,519257,519266,57,10,11,9848,161,183,1387,40,1.7559,0.1773,3
925,934,552377,552388,75,9,11,12593,150,180,1387,40,1.8751,0.2051,3
919,930,561832,561842,88,11,10,14538,134,183,1387,40,1.9445,0.2173,3
919,928,578380,578392,88,10,13,14808,148,182,1387,40,1.9445,0.215,3
933,940,612662,612672,52,9,10,8857,161,182,1387,40,1.716,0.1753,3
936,942,625664,625675,52,9,11,8801,159,181,1387,40,1.716,0.1715,3
936,944,639848,639857,65,9,9,11132,161,182,1387,40,1.8129,0.1773,3
926,935,675316,675327,63,9,11,10518,156,180,1387,40,1.7993,0.2051,3
897,907,898704,898715,101,11,11,16760,148,182,1387,40,2.0043,0.2173,3
892,903,908164,908176,92,12,12,14703,128,175,1387,40,1.9638,0.2432,3
824,832,928256,928264,53,9,8,9033,158,181,1387,40,1.7243,0.1696,3
732,793,78207,78276,2358,104,101,233778,49,124,1387,40,3.3725,1,3
367,440,795618,795659,2108,80,61,175110,6,119,1387,40,3.3239,1,3
476,490,13302,13320,227,14,18,21216,36,127,1373,40,2.356,0.417,3
498,515,31041,31058,231,17,17,21639,33,127,1373,40,2.3636,0.4779,3
1147,1162,41184,41201,194,16,17,19202,68,124,1373,40,2.2878,0.4219,3
489,504,55547,55568,247,17,21,23671,43,129,1373,40,2.3927,0.5212,3
236,249,64701,64720,175,13,19,18625,61,126,1373,40,2.243,0.4089,3
1314,1333,3149494,3149542,566,28,49,49867,70,103,1387,40,2.7528,0.9831,3
1614,1638,676623,676657,655,33,35,49303,54,93,1687,80,2.8162,0.9685,3
19,169,4197607,4215748,152655,10449,18152,11591414,0,156,1336,40,5.1837,1,3
0,230,308503,308712,25323,1022,593,3037459,24,148,1400,40,4.4035,1,3
3,223,333373,333576,21110,1138,597,2554885,21,148,1402,40,4.3245,1,3
0,225,344016,344225,25473,992,578,3061597,23,148,1400,40,4.4061,1,3
0,436,407936,408170,24365,1084,680,2935414,22,143,1404,40,4.3868,1,3
0,224,418600,418798,20894,1169,712,2529140,18,143,1398,40,4.32,1,3
0,828,468317,468520,20726,1193,709,2499819,25,143,1402,40,4.3165,1,3
1,222,486069,486291,22554,999,605,2712104,27,150,1400,40,4.3532,1,3
0,223,500276,500482,21987,1050,684,2638402,21,143,1398,40,4.3422,1,3
0,384,510931,511150,21036,1015,586,2519511,24,143,1402,40,4.323,1,3
41,218,553549,553733,16759,729,433,2020624,24,143,1402,40,4.2242,1,3
41,222,564200,564395,17977,796,513,2144244,24,143,1402,40,4.2547,1,3
41,735,581949,582129,19629,788,534,2332320,22,143,1400,40,4.2929,1,3
41,222,592614,592819,17887,713,448,2156667,21,143,1400,40,4.2525,1,3
37,261,652969,653195,18517,1021,696,2230510,25,150,1398,40,4.2676,1,3
41,220,663618,663832,17825,790,539,2155523,24,143,1400,40,4.251,1,3
41,456,674290,674482,16686,842,562,2013557,19,150,1402,40,4.2224,1,3
39,734,684933,685134,16521,926,591,1992604,21,149,1400,40,4.218,1,3
41,226,695578,695788,17706,802,537,2147442,24,148,1404,40,4.2481,1,3
39,226,702679,702873,18071,814,534,2160349,27,148,1400,40,4.257,1,3
41,216,713328,713531,18908,853,535,2264960,24,143,1402,40,4.2766,1,3
43,230,830512,830692,18896,768,507,2225392,22,142,1404,40,4.2764,1,3
41,232,844714,844903,20313,755,497,2400588,23,141,1400,40,4.3078,1,3
39,222,855369,855569,18203,696,480,2155986,25,143,1398,40,4.2601,1,3
39,212,862475,862693,17357,794,495,2034432,27,142,1400,40,4.2395,1,3
39,226,876673,876871,18954,749,482,2236201,25,143,1400,40,4.2777,1,3
41,218,897989,898132,14949,720,469,1734628,27,142,1400,40,4.1746,1,3
39,907,908650,908829,16469,929,568,1939163,27,143,1398,40,4.2167,1,3
39,225,919301,919496,17810,763,456,2094532,25,142,1398,40,4.2507,1,3
39,58,933630,933641,100,30,16,12817,123,140,1398,40,2,0.3494,3
142,167,947849,947878,354,67,47,44478,120,134,1400,40,2.549,0.9437,3
39,218,965451,965599,16821,670,425,1972773,29,141,1398,40,4.2259,1,3
39,218,979651,979800,15937,745,463,1847157,31,141,1398,40,4.2024,1,3
41,222,990300,990473,15896,756,469,1847464,22,143,1400,40,4.2013,1,3
41,58,997542,997556,128,38,27,16028,120,134,1400,40,2.1072,0.3945,3
41,222,1018714,1018885,16220,780,453,1877827,19,141,1400,40,4.2101,1,3
35,210,1029360,1029531,14963,779,468,1720418,22,141,1398,40,4.175,1,3
41,217,1040020,1040199,15050,867,541,1751637,21,141,1400,40,4.1775,1,3
39,214,1050670,1050830,13033,731,420,1508093,29,141,1398,40,4.115,1,3
41,215,1150090,1150255,16968,670,399,1976551,26,143,1400,40,4.2296,1,3
41,215,1157189,1157378,16584,821,498,1936241,25,143,1398,40,4.2197,1,3
43,214,1164302,1164475,14969,805,503,1758655,27,142,1400,40,4.1752,1,3
39,214,1174946,1175131,13601,805,503,1579135,25,141,1400,40,4.1336,1,3
39,212,1185602,1185752,13387,763,425,1546189,29,141,1398,40,4.1267,1,3
41,218,1196243,1196445,16164,861,522,1868220,23,141,1400,40,4.2085,1,3
39,74,1206989,1207040,935,143,98,117325,119,135,1398,40,2.9708,0.9999,3
41,219,1221106,1221276,15601,865,517,1835252,23,143,1400,40,4.1932,1,3
41,221,1228221,1228359,11348,595,357,1302540,27,143,1400,40,4.0549,1,3
39,214,1242405,1242592,15414,796,478,1798470,24,142,1400,40,4.1879,1,3
43,215,1253069,1253240,13975,795,441,1630309,29,140,1400,40,4.1453,1,3
39,440,1263724,1263888,11388,735,415,1315891,29,141,1398,40,4.0564,1,3
39,214,1277926,1278089,13553,708,424,1567858,30,141,1400,40,4.132,1,3
37,218,1285016,1285196,15704,976,557,1814409,25,142,1396,40,4.196,1,3
39,211,1292132,1292303,12012,607,362,1381722,30,141,1398,40,4.0796,1,3
39,212,1299230,1299402,11875,657,387,1375431,32,143,1398,40,4.0746,1,3
41,212,1309877,1310041,11271,664,396,1297285,27,141,1402,40,4.052,1,3
41,227,1316989,1317154,12212,617,372,1398637,27,141,1402,40,4.0868,1,3
39,68,1327718,1327750,539,94,63,68416,119,135,1402,40,2.7316,0.9848,3
39,72,1338367,1338402,677,114,79,86417,120,140,1400,40,2.8306,0.9966,3
39,217,1359602,1359742,10276,552,319,1187807,25,141,1400,40,4.0118,1,3
41,224,1370247,1370411,11535,758,419,1327403,23,141,1400,40,4.062,1,3
39,66,1384526,1384579,794,131,91,101435,119,140,1402,40,2.8998,0.9995,3
39,211,1391555,1391715,11492,650,443,1339579,26,143,1402,40,4.0604,1,3
39,208,1402211,1402348,10904,617,334,1261668,28,141,1402,40,4.0376,1,3
37,199,1430612,1430780,14069,675,452,1642086,26,141,1400,40,4.1483,1,3
39,191,1437715,1437882,12388,631,374,1431766,29,143,1400,40,4.093,1,3
43,194,1448373,1448535,12108,614,359,1402972,34,141,1402,40,4.0831,1,3
39,192,1469673,1469845,13946,589,406,1635177,33,142,1402,40,4.1445,1,3
39,187,1480323,1480475,13309,500,310,1550152,31,143,1402,40,4.1241,1,3
41,196,1494534,1494716,12729,634,404,1482862,29,143,1400,40,4.1048,1,3
41,197,1512277,1512467,14309,793,469,1661835,31,141,1402,40,4.1556,1,3
39,191,1530040,1530225,14346,694,424,1691554,29,143,1400,40,4.1567,1,3
41,191,1540695,1540855,12260,660,378,1424210,33,141,1402,40,4.0885,1,3
39,192,1554895,1555056,13185,572,370,1529932,30,141,1400,40,4.1201,1,3
39,191,1565555,1565703,13114,618,381,1507625,33,141,1400,40,4.1177,1,3
39,200,1576208,1576347,10796,572,363,1245388,38,141,1402,40,4.0333,1,3
39,192,1586862,1587011,11505,577,349,1320194,27,142,1402,40,4.0609,1,3
39,188,1597511,1597679,13612,579,357,1577022,30,141,1400,40,4.1339,1,3
41,191,1611713,1611861,12477,560,331,1442027,36,141,1400,40,4.0961,1,3
43,193,1625918,1626076,12718,596,348,1459713,31,140,1402,40,4.1044,1,3
43,195,1636571,1636729,13057,562,361,1507763,32,140,1404,40,4.1158,1,3
41,192,1647218,1647385,13699,587,352,1585785,37,141,1402,40,4.1367,1,3
39,191,1661425,1661593,12509,622,374,1456542,27,141,1400,40,4.0972,1,3
41,192,1672082,1672228,11089,593,354,1270726,31,143,1402,40,4.0449,1,3
41,192,1682722,1682891,11711,538,348,1308444,30,135,1402,40,4.0686,1,3
41,187,1700480,1700639,13041,616,365,1508999,37,141,1400,40,4.1153,1,3
41,194,1711137,1711281,10913,634,359,1248379,25,141,1402,40,4.0379,1,3
41,206,1721788,1721968,12051,631,390,1383987,33,140,1402,40,4.081,1,3
39,190,1735985,1736165,11355,639,388,1299720,31,141,1402,40,4.0552,1,3
41,190,1799909,1800071,11388,705,420,1311391,36,140,1402,40,4.0564,1,3
39,195,1810559,1810727,11813,591,367,1361903,27,141,1400,40,4.0724,1,3
39,194,1821207,1821379,13203,608,375,1515722,35,141,1402,40,4.1207,1,3
39,192,1831860,1832017,11809,621,400,1367596,36,141,1400,40,4.0722,1,3
39,192,1842518,1842677,11211,639,387,1293558,35,141,1402,40,4.0496,1,3
41,189,1853169,1853339,10880,649,409,1245114,33,141,1400,40,4.0366,1,3
39,195,1863816,1864008,13037,623,387,1505833,35,143,1402,40,4.1152,1,3
37,194,1881566,1881746,12489,700,462,1439221,31,141,1402,40,4.0965,1,3
41,190,1892225,1892384,12515,626,397,1452456,37,141,1400,40,4.0974,1,3
39,193,1902883,1903031,11510,699,429,1330937,40,141,1402,40,4.0611,1,3
39,197,1913522,1913670,12834,570,356,1487763,37,141,1400,40,4.1084,1,3
41,393,1924169,1924363,10429,578,382,1196792,33,141,1402,40,4.0182,1,3
41,185,1934838,1934989,9576,564,343,1098162,37,141,1402,40,3.9812,1,3
41,193,1945494,1945637,10743,652,418,1239926,38,142,1402,40,4.0311,1,3
41,197,1959683,1959850,11411,801,433,1303229,40,141,1400,40,4.0573,1,3
41,193,1970337,1970509,10941,685,407,1246740,40,140,1402,40,4.0391,1,3
39,197,2098167,2098332,10821,754,454,1238454,36,140,1400,40,4.0343,1,3
41,187,2112377,2112542,9349,659,387,1068391,38,140,1402,40,3.9708,1,3
41,205,2133677,2133849,11542,757,441,1338028,42,140,1402,40,4.0623,1,3
41,188,2194041,2194206,9927,625,418,1133850,39,140,1402,40,3.9968,1,3
39,194,2204696,2204771,5519,319,173,582040,34,135,1402,40,3.7419,1,3
41,189,2215354,2215404,4881,239,110,513464,40,127,1404,40,3.6885,1,3
39,186,2229552,2229707,9484,655,382,1083941,41,141,1400,40,3.977,1,3
39,195,2240199,2240365,10986,755,444,1273434,44,142,1404,40,4.0408,1,3
41,190,2254407,2254463,4995,232,124,527906,39,127,1402,40,3.6985,1,3
39,194,2265059,2265115,5702,214,118,601643,47,127,1402,40,3.756,1,3
41,196,2289914,2290079,9518,743,453,1084425,41,141,1402,40,3.9785,1,3
39,191,2300567,2300643,5957,289,166,637883,48,135,1404,40,3.775,1,3
39,186,2311225,2311296,5617,268,152,598575,42,135,1404,40,3.7495,1,3
39,187,2321871,2322028,9582,611,384,1095577,39,140,1404,40,3.9815,1,3
41,194,2339627,2339797,9183,602,355,1059263,40,141,1404,40,3.963,1,3
39,195,2357383,2357532,8726,653,398,1001426,41,141,1402,40,3.9408,1,3
43,193,2368032,2368203,9892,682,424,1130960,42,140,1402,40,3.9953,1,3
39,191,2399992,2400148,8457,636,383,971036,38,141,1400,40,3.9272,1,3
93,171,2410724,2410794,2027,255,129,259127,118,141,1402,40,3.3068,1,3
41,199,2421293,2421350,5593,239,133,593650,42,127,1402,40,3.7476,1,3
39,195,2431945,2432111,8709,578,322,996980,47,141,1402,40,3.94,1,3
39,185,2442600,2442673,5576,235,133,598862,43,135,1400,40,3.7463,1,3
41,185,2460355,2460408,5357,181,90,764,123,134,1402,40,3.7289,1,3
41,181,2542022,2542072,4635,226,128,491662,38,127,1400,40,3.666,1,3
39,180,2552670,2552812,8957,588,360,1025103,35,141,1400,40,3.9522,1,3
39,181,2563319,2563376,5261,190,107,553974,46,127,1400,40,3.7211,1,3
39,179,2573973,2574054,5731,325,186,618954,41,135,1400,40,3.7582,1,3
89,151,2584705,2584775,1909,175,125,245067,120,140,1400,40,3.2808,1,3
75,154,2595328,2595429,2791,332,207,353617,114,140,1400,40,3.4458,1,3
39,175,2605918,2606006,6381,280,166,678752,41,135,1400,40,3.8049,1,3
39,173,2616577,2616725,8344,558,338,945879,52,141,1400,40,3.9214,1,3
39,178,2627229,2627391,7998,558,343,889727,49,140,1400,40,3.903,1,3
39,177,2641432,2641500,5480,230,119,588758,53,135,1400,40,3.7388,1,3
39,187,2662727,2662812,6397,381,216,701931,55,141,1400,40,3.806,1,3
39,192,29559,29611,4915,248,153,497404,33,124,1358,40,3.6915,1,3
39,189,47299,47376,5757,240,136,600689,38,133,1358,40,3.7602,1,3
39,182,65059,65121,4471,248,116,470165,39,135,1360,40,3.6504,1,3
126,165,75758,75777,384,70,42,47481,115,135,1358,40,2.5843,0.9491,3
129,157,86408,86427,276,39,26,33858,115,135,1362,40,2.4409,0.8223,3
46,178,104115,104164,4115,179,108,427024,48,127,1360,40,3.6144,1,3
43,184,114768,114815,3918,172,88,408392,39,127,1362,40,3.5931,1,3
39,181,125418,125467,4223,198,83,439309,38,127,1360,40,3.6256,1,3
43,186,143167,143219,4403,215,115,457632,38,126,1360,40,3.6437,1,3
103,161,157419,157529,2463,262,168,312375,116,140,1360,40,3.3915,1,3
50,181,168027,168086,3912,226,105,407966,29,135,1362,40,3.5924,1,3
134,156,178723,178731,101,31,21,12531,118,135,1362,40,2.0043,0.3012,3
46,178,189330,189384,4130,197,98,432500,37,132,1360,40,3.616,1,3
41,183,199980,200030,4214,210,116,445047,42,126,1360,40,3.6247,1,3
37,181,210633,210681,4487,219,106,470618,40,127,1360,40,3.652,1,3
60,181,239041,239088,3324,157,85,343029,42,125,1360,40,3.5217,1,3
51,175,249693,249742,3631,179,96,378154,45,125,1362,40,3.56,1,3
48,174,260349,260396,3661,184,87,380538,43,127,1358,40,3.5636,1,3
47,182,270999,271050,3786,196,102,391378,40,126,1362,40,3.5782,1,3
52,174,281656,281703,3703,187,94,384266,37,126,1362,40,3.5686,1,3
41,184,299413,299460,3936,182,93,407075,38,124,1362,40,3.5951,1,3
56,173,310065,310112,3287,163,87,342248,50,125,1362,40,3.5168,1,3
51,172,320720,320767,3671,175,89,379850,46,124,1360,40,3.5648,1,3
55,174,327823,327870,3437,163,82,354240,45,126,1360,40,3.5362,1,3
39,172,334925,334972,4123,177,90,426267,40,126,1360,40,3.6152,1,3
50,181,345580,345626,3666,161,78,379668,43,125,1360,40,3.5642,1,3
41,184,356230,356279,4331,178,108,450619,45,126,1360,40,3.6366,1,3
43,176,366881,366932,4048,178,96,421512,50,126,1360,40,3.6072,1,3
48,177,377537,377585,3985,166,99,413005,41,126,1362,40,3.6004,1,3
42,180,388190,388236,4019,191,102,417578,41,125,1360,40,3.6041,1,3
41,182,398837,398889,4409,191,102,456908,47,125,1362,40,3.6443,1,3
39,175,409491,409539,3920,166,88,407163,45,125,1360,40,3.5933,1,3
39,185,420136,420189,5003,196,91,522331,49,126,1360,40,3.6992,1,3
41,198,430771,430836,6376,200,110,659058,54,127,1360,40,3.8045,1,3
39,196,441418,441483,6213,210,123,649441,55,124,1356,40,3.7933,1,3
41,194,452068,452142,6170,228,137,645016,51,134,1358,40,3.7903,1,3
41,190,462709,462786,6232,250,130,648220,48,133,1356,40,3.7946,1,3
121,159,473414,473430,229,51,31,28034,116,135,1358,40,2.3598,0.8848,3
39,194,498190,498252,5877,211,110,612067,47,126,1358,40,3.7692,1,3
41,190,508837,508896,5702,216,119,591835,45,126,1356,40,3.756,1,3
39,193,519483,519540,5852,205,117,608466,42,126,1356,40,3.7673,1,3
127,166,533732,533745,207,40,23,25309,115,134,1356,40,2.316,0.7966,3
126,163,544375,544389,200,50,30,24389,114,134,1358,40,2.301,0.8082,3
39,195,554961,555021,5970,188,118,618937,43,125,1356,40,3.776,1,3
41,196,579795,579857,6057,209,138,627913,39,126,1358,40,3.7823,1,3
39,196,590440,590503,6143,198,119,637317,45,125,1358,40,3.7884,1,3
39,195,601086,601148,5786,202,106,600867,41,124,1358,40,3.7624,1,3
39,190,611732,611792,5941,207,117,618605,45,126,1356,40,3.7739,1,3
41,198,622372,622437,6277,192,109,651641,43,125,1358,40,3.7977,1,3
41,198,633023,633082,6008,200,112,622760,45,125,1360,40,3.7787,1,3
39,194,643657,643725,6293,216,124,647587,47,124,1356,40,3.7989,1,3
43,198,686245,686304,6227,205,117,644765,38,124,1358,40,3.7943,1,3
43,200,696884,696948,6059,206,129,626256,45,125,1358,40,3.7824,1,3
39,193,707526,707593,6117,182,113,637707,49,127,1358,40,3.7865,1,3
39,200,718174,718237,6181,209,117,638448,44,127,1356,40,3.7911,1,3
96,172,728912,728995,2406,231,168,301138,116,140,1358,40,3.3813,1,3
41,194,743010,743076,5695,211,136,588714,40,126,1358,40,3.7555,1,3
98,166,775041,775118,2148,269,164,266914,113,135,1358,40,3.332,1,3
39,190,799788,799848,5817,212,131,598890,49,124,1358,40,3.7647,1,3
104,171,899231,899307,1961,220,142,246168,115,135,1356,40,3.2925,1,3
100,175,909876,909953,1923,227,139,241083,116,140,1356,40,3.284,1,3
41,202,920427,920489,5993,214,130,589956,132,132,1358,40,3.7776,1,3
39,196,931074,931135,5885,249,136,610139,40,127,1358,40,3.7698,1,3
93,172,938265,938349,2108,317,184,263590,115,135,1358,40,3.3239,1,3
41,214,1413654,1413720,6357,257,129,658914,41,124,1358,40,3.8033,1,3
41,214,1424299,1424367,6404,231,125,660910,38,124,1358,40,3.8064,1,3
39,209,1434944,1435012,6676,240,128,688430,37,125,1356,40,3.8245,1,3
41,210,1445593,1445656,6294,262,153,656298,45,125,1358,40,3.7989,1,3
39,210,1463330,1463399,6399,229,124,659350,39,119,1356,40,3.8061,1,3
41,218,1473977,1474044,7017,274,156,723789,36,125,1358,40,3.8461,1,3
41,211,1484624,1484688,6337,344,174,654684,41,127,1358,40,3.8019,1,3
39,218,1495267,1495336,7250,268,141,746545,40,119,1356,40,3.8603,1,3
41,212,1505915,1505982,6494,315,145,671353,38,127,1356,40,3.8125,1,3
39,219,1516553,1516628,6999,285,165,732196,43,126,1358,40,3.845,1,3
39,214,1527208,1527274,6661,247,133,686124,41,133,1356,40,3.8235,1,3
109,189,1541496,1541574,1834,242,128,227896,114,135,1358,40,3.2634,1,3
41,216,1555596,1555663,6562,255,125,677554,36,125,1358,40,3.817,1,3
37,213,1566243,1566309,6210,293,153,645839,38,124,1356,40,3.7931,1,3
41,214,1576890,1576955,6353,260,120,657020,37,125,1358,40,3.803,1,3
41,212,1587535,1587602,6017,261,143,612746,38,119,1356,40,3.7794,1,3
39,215,1601728,1601796,6430,276,127,669161,46,126,1358,40,3.8082,1,3
41,216,1615921,1615991,6276,279,154,647595,43,119,1356,40,3.7977,1,3
41,211,1626575,1626636,5706,266,139,590664,43,124,1356,40,3.7563,1,3
41,213,1637218,1637282,6206,257,128,641502,39,127,1356,40,3.7928,1,3
41,216,1647865,1647927,6501,257,115,672664,43,125,1356,40,3.813,1,3
39,218,1658501,1658584,6828,297,152,705056,42,127,1358,40,3.8343,1,3
41,216,1669152,1669220,6422,278,138,670952,43,126,1358,40,3.8077,1,3
41,220,1679793,1679864,6519,331,159,674120,41,124,1356,40,3.8142,1,3
39,216,1693992,1694059,6679,288,156,691010,36,124,1358,40,3.8247,1,3
41,219,1704636,1704704,6625,351,173,686356,42,124,1358,40,3.8212,1,3
39,212,1715280,1715348,6596,316,170,685447,44,124,1358,40,3.8193,1,3
190,192,1729556,1729557,2,2,1,255,126,133,1356,40,0.301,0.119,3
41,214,1740121,1740188,6855,238,142,701946,38,124,1358,40,3.836,1,3
39,218,1750768,1750835,6543,279,160,679238,39,125,1358,40,3.8158,1,3
43,218,1761412,1761480,6776,259,133,700391,37,124,1358,40,3.831,1,3
41,214,1775604,1775675,6686,273,132,687345,36,124,1356,40,3.8252,1,3
41,209,1786253,1786320,6662,266,131,685894,41,124,1358,40,3.8236,1,3
39,217,1803992,1804079,6816,333,162,699635,36,126,1358,40,3.8335,1,3
39,212,1814642,1814708,6525,278,134,674367,38,124,1358,40,3.8146,1,3
37,217,1825287,1825355,6605,310,151,684731,38,126,1356,40,3.8199,1,3
39,220,1835934,1836000,6644,252,113,689961,40,126,1358,40,3.8224,1,3
41,209,1853674,1853744,6484,223,117,666047,40,126,1358,40,3.8118,1,3
109,181,1867972,1868026,1843,171,85,230162,115,135,1356,40,3.2655,1,3
41,212,1878514,1878584,6432,276,134,666662,39,124,1358,40,3.8084,1,3
41,221,1889165,1889228,6490,282,140,669614,36,124,1356,40,3.8122,1,3
39,216,1903355,1903423,6878,247,128,709363,38,126,1358,40,3.8375,1,3
39,214,1914002,1914070,6615,244,131,684236,36,124,1358,40,3.8205,1,3
41,212,1935297,1935360,6493,293,135,676077,41,125,1358,40,3.8124,1,3
39,216,1945941,1946007,7038,262,133,735371,42,126,1358,40,3.8475,1,3
41,217,1960132,1960200,6987,251,123,725465,43,125,1356,40,3.8443,1,3
41,212,1970779,1970846,6603,271,138,688556,38,127,1358,40,3.8197,1,3
43,218,1981417,1981492,7327,234,119,750685,35,126,1358,40,3.8649,1,3
39,214,1992062,1992137,6998,280,143,724819,43,124,1358,40,3.845,1,3
41,218,2002718,2002782,6944,256,113,723643,41,124,1358,40,3.8416,1,3
98,192,2013457,2013541,2795,312,171,349157,115,140,1358,40,3.4464,1,3
39,214,2027555,2027621,6592,265,125,687299,44,124,1356,40,3.819,1,3
41,211,2041748,2041815,6499,263,137,676562,43,125,1356,40,3.8128,1,3
41,211,2052389,2052461,6476,296,156,675748,43,124,1356,40,3.8113,1,3
39,212,2070134,2070204,6399,287,132,666455,41,126,1356,40,3.8061,1,3
43,218,2087881,2087946,6515,222,104,683149,39,127,1358,40,3.8139,1,3
41,218,2098521,2098591,6937,253,135,722716,39,127,1358,40,3.8412,1,3
39,215,2109173,2109236,6763,277,151,706929,42,124,1358,40,3.8301,1,3
41,213,2119822,2119881,6025,283,147,624180,39,124,1360,40,3.78,1,3
41,218,2134009,2134076,6277,286,147,647965,40,126,1358,40,3.7977,1,3
195,197,2166065,2166066,2,2,1,250,120,130,1358,40,0.301,0.119,3
41,218,2187237,2187305,6010,257,123,626586,39,126,1358,40,3.7789,1,3
39,216,2201440,2201499,5933,312,167,614522,38,125,1356,40,3.7733,1,3
39,211,2212076,2212144,6249,263,137,649801,39,124,1358,40,3.7958,1,3
37,212,2222725,2222791,6281,265,132,654358,42,126,1356,40,3.798,1,3
39,212,2233368,2233436,6310,290,151,658162,41,125,1356,40,3.8,1,3
39,212,2244009,2244082,6827,276,141,711671,40,124,1358,40,3.8342,1,3
41,214,2254664,2254729,6176,307,140,639433,36,124,1356,40,3.7907,1,3
39,217,2265307,2265372,6185,313,158,640970,41,119,1358,40,3.7913,1,3
41,219,2275954,2276025,6454,310,145,675659,40,127,1358,40,3.8098,1,3
41,213,2290146,2290212,5753,291,160,602131,40,125,1358,40,3.7599,1,3
43,211,2300789,2300856,6279,306,149,648910,36,126,1358,40,3.7979,1,3
128,189,2315086,2315172,2160,259,149,269308,116,135,1358,40,3.3345,1,3
41,207,2336275,2336344,5724,277,162,588321,37,124,1356,40,3.7577,1,3
39,214,2350467,2350536,6472,243,129,673434,44,124,1356,40,3.811,1,3
39,211,2364667,2364730,6381,293,142,674326,46,127,1358,40,3.8049,1,3
39,216,2382409,2382472,6239,263,135,648169,46,124,1358,40,3.7951,1,3
41,212,2421444,2421508,5544,295,159,579951,43,125,1358,40,3.7438,1,3
39,210,2449833,2449893,5816,273,132,618320,51,127,1358,40,3.7646,1,3
41,210,2556287,2556352,6234,219,125,649139,43,124,1358,40,3.7948,1,3
41,214,2566935,2566997,6075,242,131,633606,47,127,1358,40,3.7836,1,3
41,209,2598874,2598935,5962,251,125,626007,41,126,1358,40,3.7754,1,3
130,188,2638000,2638062,1685,181,101,208514,115,135,1358,40,3.2266,1,3
39,216,2648545,2648612,6309,269,140,660758,45,127,1358,40,3.8,1,3
39,216,2662735,2662807,6664,328,172,690169,33,124,1358,40,3.8237,1,3
41,218,2698232,2698294,6327,275,148,660291,40,126,1358,40,3.8012,1,3
41,216,2708878,2708939,6298,275,134,654634,42,126,1358,40,3.7992,1,3
39,212,2730163,2730230,6108,299,149,635284,40,125,1356,40,3.7859,1,3
41,213,2740809,2740889,6532,356,186,685717,43,134,1358,40,3.815,1,3
37,212,2751455,2751522,6280,324,184,654471,40,124,1358,40,3.798,1,3
147,180,2765714,2765730,251,41,25,30451,115,132,1358,40,2.3997,0.8183,3
39,212,2776296,2776362,6172,263,143,648030,39,126,1358,40,3.7904,1,3
39,212,2786940,2787008,5969,300,154,622528,42,126,1358,40,3.7759,1,3
39,216,2797592,2797652,5846,323,149,608295,44,127,1358,40,3.7669,1,3
